Influent Substrate,HRT,Baffles Active,Substrate Removal,Mean Substrate,Standard Deviation Substrate,Mean Current Density,Standard Deviation Current Density,Biomass,Standard Deviation Biomass,Length
250,12,6,32.423722745022324,173.58122109828182,40.33115423912865,1.1039329775489723,0.7651468231645,6998.497091853113,20.029119861372312,90
250,12,7,37.21206502244767,164.78403519316615,43.993606105369,1.0852531764373117,0.7724837235356169,6998.496034565834,19.140421271518317,90
250,12,8,41.55331326591944,157.10167410813372,47.599052868217875,1.0612739269457596,0.7908449241914467,6997.883658263118,25.061731913817614,90
250,12,9,45.907444870886614,150.24871246258243,51.03689078747936,1.041034324242085,0.8030394962287649,6997.683796767372,25.59900829980986,90
500,12,1,3.3194003149413107,482.46936500912904,19.97220338554274,1.355348566129076,0.028521966674095893,7000.0,0.0,90
500,12,10,32.74319923645364,362.58245704999763,79.88203857916962,1.3388812487295982,0.35190915376646636,6999.9790680286815,0.8583868498191719,90
500,12,11,35.91388431830423,354.16855140784645,85.58485160033678,1.3319010897992736,0.3894659554451327,6999.980970935165,0.8184618697879211,90
500,12,12,38.902491896952526,346.4854621612303,91.37735320267036,1.3269148607087853,0.4170775039508735,6999.963307797301,1.282915204956282,90
500,12,13,42.14164846530897,339.71949010727974,96.86803863536568,1.3205709759429776,0.4433975357227858,6999.9661302744325,1.232623837814531,90
500,12,14,44.82556159331857,334.00085548891957,102.01067182334654,1.3125530693363425,0.4678072257495754,6999.948050881588,1.6475789186521135,90
500,12,15,48.21056334688757,329.21352474878904,106.5712641369166,1.3046975967502659,0.4885172489425818,6999.951514156148,1.591765202565164,90
500,12,16,50.54927723906276,325.2406340577468,110.87524993510944,1.2973765706415807,0.5068472810779292,6999.887304878014,3.741366559016205,90
500,12,17,54.99181451516478,322.02512405557013,114.71665469387034,1.2889312074866062,0.5237116453305233,6999.888040898226,3.640402355738735,90
500,12,18,55.84170259645298,320.42035157842065,117.06544467551255,1.2789930156936322,0.53975256110504,6999.838994261981,4.64692167430483,90
500,12,2,6.634514431730077,465.47036083481004,26.83977010972445,1.3550960386909157,0.08137263768519655,7000.0,0.0,90
500,12,3,9.947944849848614,449.4177916920897,35.57383782196583,1.3541424281405703,0.1096454335644581,7000.0,0.0,90
500,12,4,13.25124689868487,434.2045518680694,42.23336708420306,1.3533675531527725,0.13335451132860732,7000.0,0.0,90
500,12,5,16.550864050201266,420.10417424284685,48.69020545442745,1.3517145232091587,0.17987139732738058,7000.0,0.0,90
500,12,6,19.843431132238297,406.57239088057213,55.059781984478306,1.351281122583958,0.1901358474725445,6999.997098006385,0.16470452093657686,90
500,12,7,23.09077436439087,394.3538081517157,61.30897424443856,1.3468528223125549,0.259035698278067,6999.997512576902,0.15249013728651992,90
500,12,8,26.334887944540892,382.8171711072486,67.50274700780335,1.345351933215399,0.2842399374794068,6999.994037350595,0.25189773965204915,90
500,12,9,29.586927129611578,372.3900262415885,73.45688539965813,1.3418562389989657,0.3221263452351236,6999.994699867196,0.23749885912432564,90
750,12,1,2.2149806604374134,732.4554607081146,19.981729795992067,1.3566013864911757,0.005979943908759124,7000.0,0.0,90
750,12,10,22.10723352260643,611.0619743017718,82.29084256924479,1.3559768996508115,0.07982084983345528,7000.0,0.0,90
750,12,11,24.37667926236686,602.0510063097839,88.73467776647288,1.3559176038363854,0.07947688987370834,7000.0,0.0,90
750,12,12,26.499814408422967,593.8681929354376,95.14561526262887,1.3558617533988206,0.08165359042648462,7000.0,0.0,90
750,12,13,28.849945520425553,586.4901912381101,101.50675642302063,1.3558031901993297,0.08219349103710377,7000.0,0.0,90
750,12,14,30.85881130229898,580.0356090351996,107.77527305202801,1.3557195240516624,0.08424368440184789,7000.0,0.0,90
750,12,15,33.410356471646196,574.5678557267217,113.41303689995226,1.355645297019217,0.08479450988442046,7000.0,0.0,90
750,12,16,35.194731258757095,569.9748432568819,118.810841285582,1.355566598473448,0.08737560732032454,7000.0,0.0,90
750,12,17,38.62560753555348,566.1037738822089,123.9601345630119,1.3554517607449277,0.08941045480164905,7000.0,0.0,90
750,12,18,39.437423958335046,564.0713473225742,127.34955614576502,1.355267267953981,0.09440335519720666,7000.0,0.0,90
750,12,2,4.427431606830366,715.3529428571005,27.828958678307124,1.3564507462706596,0.058312434507470395,7000.0,0.0,90
750,12,3,6.642806165356493,699.225665335988,36.72001869892666,1.356355352101837,0.06225714735943318,7000.0,0.0,90
750,12,4,8.85314686637477,683.9300894506247,43.541984556194315,1.3562764030277563,0.06888864364946763,7000.0,0.0,90
750,12,5,11.070812993090446,669.74823085302,49.86303945221693,1.3562326921475625,0.06883290437107603,7000.0,0.0,90
750,12,6,13.276811396260868,656.0915586462453,56.59019302494546,1.3561703598973924,0.07420465141929097,7000.0,0.0,90
750,12,7,15.500012423816619,643.6136615394614,62.91624066934664,1.3561241350696815,0.07324507099096401,7000.0,0.0,90
750,12,8,17.696553530386534,631.9092063486777,69.24181487862647,1.3560748538283693,0.07636094482118068,7000.0,0.0,90
750,12,9,19.933577300811734,621.1985012763787,75.42824993194598,1.3560354047695204,0.07667129974004115,7000.0,0.0,90
1000,24,1,3.3259433015080506,964.8374745000059,38.64139071584073,1.3565475227319017,0.06259768758043852,7000.0,0.0,90
1000,24,10,33.09966908767986,723.7152153373243,155.81418257832541,1.3545486588355158,0.1333962004678812,7000.0,0.0,90
1000,24,11,36.49236016605864,705.9855441938292,168.56006903847654,1.3520603455530409,0.1787152652341812,7000.0,0.0,90
1000,24,12,39.5566606697637,689.9394270159444,181.13446161248675,1.3506022062178646,0.20447104040279548,7000.0,0.0,90
1000,24,13,43.05584515815633,675.7120846317308,193.21805764568958,1.347439941882911,0.23932034666132998,7000.0,0.0,90
1000,24,14,45.79602719470079,663.6905888972228,204.52274835732618,1.3420853127047792,0.2765639325393621,6999.999869808511,0.011361025875584518,90
