Influent Substrate,HRT,Baffles Active,Substrate Removal,Mean Substrate,Standard Deviation Substrate,Mean Current Density,Total Current,Standard Deviation Current Density,Biomass,Standard Deviation Biomass,Length
500,24,5,19.3411624,315.7469953,145.1305489,0.986870428,1.018151555,0.550015785,6400.028436,1074.674871,80
500,24,6,21.86016272,302.5925062,148.9729907,0.950390792,1.005951864,0.635621362,6378.55074,1093.976788,80
500,24,7,27.3338826,332.5571799,133.2323806,0.88964225,0.887462651,0.793798125,6749.756625,697.2057927,80
500,24,8,29.82006297,321.11848,139.2357006,0.863835311,0.879080488,0.880881661,6740.623841,713.7040602,80
500,24,9,33.45227285,310.8498485,144.9081159,0.844636756,0.874152843,0.968967287,6736.441508,721.1069143,80
750,24,1,5.119420157,675.0948059,110.1569163,1.46093893,0.641372508,0.186221016,6913.512345,324.136804,80
750,24,10,33.68304906,469.0302886,221.1393266,1.168649482,0.840399488,1.48963854,6797.443151,598.851526,80
750,24,11,38.15295532,458.5566332,228.9326653,1.149185921,0.847069581,1.611311887,6792.988515,608.6174505,80
750,24,12,39.09307105,454.5572071,232.5389962,1.127349082,0.848078557,1.724393156,6801.413596,601.7096792,80
750,24,2,8.962361494,637.3259286,127.9763818,1.447692579,0.677781045,0.369065095,6900.917193,348.4738316,80
750,24,3,12.57745036,607.1480199,146.550695,1.377054486,0.725300409,0.526585636,6872.594714,424.1739221,80
750,24,4,15.81594297,579.1251581,160.2537713,1.339918084,0.746560827,0.683179567,6853.667174,470.8170502,80
750,24,5,17.94536383,476.1541629,224.9069494,1.357263858,1.053261125,0.75644839,6479.74887,989.4700146,80
750,24,6,20.41892326,457.1188792,230.0117957,1.319887329,1.058247461,0.882740645,6458.174797,1011.537566,80
750,24,7,25.53591011,513.149066,194.5940596,1.24184175,0.80591608,1.108053999,6820.633639,547.9220223,80
750,24,8,28.01115871,496.2009584,204.0865306,1.214373041,0.821870994,1.238336669,6810.543554,570.589559,80
750,24,9,31.60233752,481.0657271,212.938155,1.193400808,0.830593807,1.369069407,6805.506015,581.2771248,80
1000,2,1,0.275309642,996.5085388,11.45607878,1.535213472,0.004693713,0.195688544,7000,0,80
1000,2,10,2.736219521,966.7631652,61.09635984,1.534453337,0.107906961,1.955916521,7000,0,80
1000,2,11,3.077879607,964.6139898,63.98234197,1.534462424,0.106894347,2.151520913,7000,0,80
1000,2,12,3.231022787,963.1932712,66.41786194,1.534448012,0.108564159,2.347091679,7000,0,80
1000,2,2,0.550186662,992.334688,22.60131009,1.534755797,0.085910263,0.391260411,7000,0,80
1000,2,3,0.825607516,988.4121048,30.26917369,1.534691321,0.089901141,0.586865961,7000,0,80
1000,2,4,1.100040835,984.6709263,36.53887799,1.534577798,0.099576813,0.782430067,7000,0,80
1000,2,5,1.374989199,941.298946,139.0464142,1.722870098,0.499395652,0.960212935,6969.923393,150.2900992,80
1000,2,6,1.640385151,933.9772976,148.9284307,1.722179373,0.509557199,1.151793564,6967.089074,158.7152779,80
1000,2,7,1.928207168,974.8287972,49.97689293,1.534525095,0.102479841,1.369205592,7000,0,80
1000,2,8,2.195909321,971.8521701,54.17285156,1.534478678,0.106254207,1.564759057,7000,0,80
1000,2,9,2.485046755,969.2944066,57.37878326,1.534488434,0.105112898,1.760365131,7000,0,80
250,2,1,1.096946757,246.6291316,8.135867132,1.529234495,0.098024813,0.194926424,7000,0,80
250,2,10,10.8775842,221.9970015,30.19990357,1.525008761,0.284577302,1.943877835,6991.380807,76.84089273,80
250,2,11,12.23468499,220.3735198,31.71956995,1.524938112,0.284987573,2.138166558,6991.473353,75.55082322,80
250,2,12,12.8417592,219.4307977,32.78622504,1.524898619,0.286170324,2.332484927,6990.626242,82.24160405,80
250,2,2,2.190459281,243.0052342,12.16019492,1.527583859,0.215178951,0.389432045,6995.883089,47.56041652,80
250,2,3,3.285508114,239.6354089,15.74583919,1.526828381,0.240437816,0.583859173,6995.652191,45.47155771,80
250,2,4,4.376412958,236.4678172,18.48838929,1.526296114,0.257425447,0.778207512,6993.999977,58.37886157,80
250,2,5,5.290633505,223.8260418,39.25243768,1.682616694,0.713616816,0.937778371,6800.731102,647.6227429,80
250,2,6,6.326904381,219.6851231,42.54161784,1.680054453,0.72851821,1.123620418,6790.063197,665.8573688,80
250,2,7,7.667983564,228.2881402,24.85340797,1.525598052,0.273206392,1.361240289,6993.266426,61.97634025,80
250,2,8,8.731241217,225.9343108,26.79184612,1.525320484,0.279281737,1.555420142,6992.157243,71.14277716,80
250,2,9,9.880403706,223.9010204,28.41886145,1.5252426,0.280025004,1.749758311,6992.323779,69.2922105,80
500,2,1,0.550064342,496.5603303,9.686066945,1.533668356,0.048099504,0.195491593,7000,0,80
500,2,10,5.462855833,469.3591441,42.89111466,1.531773041,0.1943176,1.952500036,7000,0,80
500,2,11,6.145006189,467.4681232,44.97423926,1.531770188,0.193915621,2.14774604,7000,0,80
500,2,12,6.450423415,466.2850163,46.60558663,1.531755979,0.195065588,2.342973945,7000,0,80
500,2,2,1.098876484,492.6691629,16.3519402,1.532669369,0.150559903,0.390728511,7000,0,80
500,2,3,1.648747615,489.018936,21.71418178,1.532398189,0.16463664,0.585989067,7000,0,80
500,2,4,2.196610117,485.5666482,25.878969,1.532157262,0.178021319,0.781195916,7000,0,80
500,2,5,2.703121844,461.8235222,74.02642678,1.710788102,0.604751661,0.953479236,6892.836708,423.0323484,80
500,2,6,3.231580434,456.3405349,79.8381902,1.709692888,0.616521867,1.143442604,6886.212341,437.5452468,80
500,2,7,3.849951634,476.5448947,35.20441731,1.531950391,0.186656911,1.366908269,7000,0,80
500,2,8,4.38429822,473.878603,38.05088074,1.531853279,0.191267813,1.56208185,7000,0,80
500,2,9,4.961570771,471.578535,40.33413223,1.531847235,0.190959378,1.757335148,7000,0,80
750,2,1,0.366966625,746.5239686,10.88502287,1.534742304,0.018506316,0.195628486,7000,0,80
750,2,10,3.646203782,717.8190965,52.89556269,1.53357677,0.143873177,1.95479919,7000,0,80
750,2,11,4.10151511,715.7729745,55.43297742,1.533583308,0.143034579,2.150288275,7000,0,80
750,2,12,4.305509197,714.4494598,57.49565274,1.533569603,0.144464018,2.345748065,7000,0,80
750,2,2,0.733256692,742.4687768,19.8188254,1.534075325,0.112687737,0.391086936,7000,0,80
750,2,3,1.100273009,738.6552124,26.48321492,1.53394271,0.120655721,0.586579692,7000,0,80
750,2,4,1.46596142,735.0343376,31.75836794,1.533783298,0.132268374,0.782024978,7000,0,80
750,2,5,1.819484015,701.2254959,107.0610182,1.718591147,0.544126182,0.957828132,6939.041839,271.9269221,80
750,2,6,2.172999043,694.7433023,115.0060399,1.717760796,0.554970243,1.14883842,6934.530551,283.2992383,80
