time/d;BA1;BA2;;;;;;
2,459504795;0,004758093;0,006238925;;;;;;
2,46644924;0,004861877;0,006400407;;;;;;
2,473393686;0,00498046;0,006551923;;;;;;
2,480338131;0,005083957;0,006704642;;;;;;
2,487282577;0,005195911;0,006871862;;;;;;
2,494227022;0,005304845;0,00704314;;;;;;
2,501171468;0,005437045;0,007225146;;;;;;
2,508115913;0,005552457;0,007400306;;;;;;
2,515060359;0,005684088;0,007578498;;;;;;
2,522004804;0,005814575;0,007778492;;;;;;
2,52894925;0,005964697;0,00797002;;;;;;
2,535893695;0,006103463;0,008179821;;;;;;
2,542838141;0,006251124;0,008395221;;;;;;
2,549782586;0,006408143;0,00861385;;;;;;
2,556727032;0,006565887;0,00884547;;;;;;
2,563671478;0,006726157;0,009083443;;;;;;
2,570615923;0,006899484;0,009342116;;;;;;
2,577560369;0,007081603;0,009592246;;;;;;
2,584504814;0,007282364;0,00996686;;;;;;
2,59144926;0,007497389;0,01013157;;;;;;
2,598393705;0,007697921;0,010424753;;;;;;
2,605338151;0,00790068;0,010732826;;;;;;
2,612282596;0,008103232;0,011055303;;;;;;
2,619227042;0,008341696;0,011369148;;;;;;
2,626171487;0,008565957;0,011690754;;;;;;
2,633115933;0,008813437;0,012024111;;;;;;
2,640060378;0,009044974;0,012376539;;;;;;
2,647004824;0,00929804;0,01271761;;;;;;
2,653949269;0,009534297;0,013076503;;;;;;
2,660893715;0,009781168;0,013442969;;;;;;
2,66783816;0,010041744;0,013816298;;;;;;
2,674782606;0,010332883;0,01420842;;;;;;
2,681727052;0,010611637;0,014637567;;;;;;
2,688671497;0,010921769;0,015048943;;;;;;
2,695615943;0,011255928;0,015492221;;;;;;
2,702560388;0,011588869;0,015944859;;;;;;
2,709504834;0,012016609;0,01643836;;;;;;
2,716449279;0,01235474;0,016965894;;;;;;
2,723393725;0,012754481;0,017500788;;;;;;
2,73033817;0,013189909;0,01809004;;;;;;
2,737282616;0,013595241;0,01862727;;;;;;
2,744227061;0,014016191;0,019228196;;;;;;
2,751171507;0,014460674;0,019855459;;;;;;
2,758115952;0,014921462;0,020481694;;;;;;
2,765060398;0,015439613;0,021148525;;;;;;
2,772004843;0,015937143;0,021828195;;;;;;
2,778949289;0,016436281;0,022563957;;;;;;
2,785893735;0,016980132;0,023309862;;;;;;
2,79283818;0,017574271;0,024087843;;;;;;
2,799782626;0,018141142;0,024891951;;;;;;
2,806727071;0,018778505;0,025743997;;;;;;
2,813671517;0,019370295;0,026630768;;;;;;
2,820615962;0,020050421;0,027525728;;;;;;
2,827560408;0,02103784;0,028933524;;;;;;
2,834504853;0,021758798;0,029834209;;;;;;
2,841449299;0,022155059;0,030438349;;;;;;
2,848393744;0,022839857;0,031505709;;;;;;
2,85533819;0,023999523;0,032613422;;;;;;
2,862282635;0,024459031;0,033685029;;;;;;
2,869227081;0,025413214;0,035312103;;;;;;
2,876171526;0,02640956;0,036457264;;;;;;
2,883115972;0,027059686;0,037606604;;;;;;
2,890060417;0,027951469;0,038861028;;;;;;
2,897004863;0,02896439;0,04018862;;;;;;
2,903949309;0,029805211;0,041676779;;;;;;
2,910893754;0,03086294;0,042940932;;;;;;
2,9178382;0,031890621;0,044333105;;;;;;
2,924782645;0,03297897;0,045749739;;;;;;
2,931727091;0,034074072;0,047278998;;;;;;
2,938671536;0,035254356;0,048956575;;;;;;
2,945615982;0,036545936;0,050703757;;;;;;
2,952560427;0,037719357;0,052481255;;;;;;
2,959504873;0,039001237;0,05418761;;;;;;
2,966449318;0,040504983;0,056310943;;;;;;
2,973393764;0,041842096;0,0583001;;;;;;
2,980338209;0,043201574;0,060156223;;;;;;
2,987282655;0,044721315;0,062296983;;;;;;
2,9942271;0,046220944;0,064457132;;;;;;
3,001171546;0,047843046;0,066747731;;;;;;
3,008115991;0,049588104;0,069196145;;;;;;
3,015060437;0,051375624;0,071716505;;;;;;
3,022004883;0,053287042;0,074340963;;;;;;
3,028949328;0,055167148;0,077148267;;;;;;
3,035893774;0,057099699;0,07999774;;;;;;
3,042838221;0,059296187;0,082954592;;;;;;
3,049782667;0,06150465;0,086172937;;;;;;
3,056727113;0,06383743;0,089526909;;;;;;
3,063671559;0,066303068;0,092964307;;;;;;
3,070616005;0,06880363;0,096634501;;;;;;
3,077560452;0,07124832;0,100308787;;;;;;
3,084504898;0,073948365;0,104003984;;;;;;
3,091449344;0,076939783;0,108025614;;;;;;
3,09839379;0,079923489;0,112298902;;;;;;
3,105338236;0,083124908;0,116771258;;;;;;
3,112282683;0,086360585;0,121331894;;;;;;
3,119227129;0,0898771;0,126285269;;;;;;
3,126171575;0,093296233;0,131319345;;;;;;
3,133116021;0,096707749;0,136179025;;;;;;
3,140060468;0,10113699;0,142612854;;;;;;
3,147004914;0,105376893;0,148794361;;;;;;
3,15394936;0,109733221;0,154822847;;;;;;
3,160893806;0,113949092;0,161302033;;;;;;
3,167838252;0,118656787;0,167870396;;;;;;
3,174782699;0,123597441;0,174515913;;;;;;
3,181727145;0,128721894;0,181607939;;;;;;
3,188671591;0,134036243;0,191918245;;;;;;
3,195616037;0,139738018;0,196824591;;;;;;
3,202560483;0,145415563;0,204964593;;;;;;
3,20950493;0,151509728;0,213603389;;;;;;
3,216449376;0,157716484;0,222435104;;;;;;
3,223393822;0,16444228;0,231444091;;;;;;
3,230338268;0,171287931;0,241279422;;;;;;
3,237282715;0,178428458;0,2509843;;;;;;
3,244227161;0,185830213;0,261405851;;;;;;
3,251171607;0,193585141;0,272098197;;;;;;
3,258116053;0,20099359;0,283780501;;;;;;
3,265060499;0,211489671;0,29574789;;;;;;
3,272004946;0,218889755;0,307285792;;;;;;
3,278949392;0,227801065;0,319936337;;;;;;
3,285893838;0,236513537;0,33287843;;;;;;
3,292838284;0,246111175;0,34646096;;;;;;
3,29978273;0,256656444;0,361473563;;;;;;
3,306727177;0,26698334;0,376348227;;;;;;
3,313671623;0,277842015;0,392492637;;;;;;
3,320616069;0,288772764;0,408703235;;;;;;
3,327560515;0,299581811;0,428782674;;;;;;
3,334504962;0,311000374;0,447094318;;;;;;
3,341449408;0,324627255;0,464674926;;;;;;
3,348393854;0,337211404;0,485783872;;;;;;
3,3553383;0,349699359;0,50924846;;;;;;
3,362282746;0,364386837;0,528830894;;;;;;
3,369227193;0,380491401;0,549884322;;;;;;
3,376171639;0,395969678;0,57224843;;;;;;
3,383116085;0,412200843;0,595047432;;;;;;
3,390060531;0,429646178;0,620610918;;;;;;
3,397004977;0,447363784;0,648450544;;;;;;
3,403949424;0,465499333;0,674634086;;;;;;
3,41089387;0,484833913;0,703331201;;;;;;
3,417838316;0,503568491;0,734116682;;;;;;
3,424782762;0,524209642;0,766047655;;;;;;
3,431727209;0,539935857;0,793339956;;;;;;
3,438671655;0,568676462;0,833297639;;;;;;
3,445616101;0,594127848;0,862058113;;;;;;
3,452560547;0,618185678;0,901162425;;;;;;
3,459504993;0,645668095;0,937006985;;;;;;
3,46644944;0,674240663;0,976412347;;;;;;
3,473393886;0,70437836;1,024600626;;;;;;
3,480338332;0,730393263;1,067322975;;;;;;
3,487282778;0,76332281;1,109150728;;;;;;
3,494227224;0,79465232;1,155885467;;;;;;
3,501171671;0,82785697;1,204091516;;;;;;
3,508116117;0,862484124;1,249907106;;;;;;
3,515060563;0,898166755;1,298603648;;;;;;
3,522005009;0,934105589;1,349542327;;;;;;
3,528949456;0,975376138;1,406047601;;;;;;
3,535893902;1,018108421;1,466429862;;;;;;
3,542838348;1,061475716;1,620989196;;;;;;
3,549782794;1,107634094;1,740361563;;;;;;
3,55672724;1,153857673;1,728326032;;;;;;
3,563671687;1,199558381;1,755917002;;;;;;
3,570616133;1,248055339;1,788713751;;;;;;
3,577560579;1,300622095;1,8286356;;;;;;
3,584505025;1,357984087;1,887172369;;;;;;
3,591449471;1,416696012;1,946449271;;;;;;
3,598393918;1,479251612;1,970004427;;;;;;
3,605338364;1,528775451;1,949468674;;;;;;
3,61228281;1,584867955;1,954502164;;;;;;
3,619227256;1,6474922;1,958742708;;;;;;
3,626171703;1,718529032;1,971375008;;;;;;
3,633116149;1,796830009;1,966508323;;;;;;
3,640060595;1,944742164;1,986444231;;;;;;
3,647005041;2,057786839;1,968529488;;;;;;
3,653949487;2,198452449;2,000257476;;;;;;
3,660893934;2,290627909;2,003305893;;;;;;
3,66783838;2,362358423;2,0010813;;;;;;
3,674782826;2,441081953;2,049991995;;;;;;
3,681727272;2,511678615;2,076418065;;;;;;
3,688671718;2,566702182;2,017899736;;;;;;
3,695616165;2,641672894;2,031356549;;;;;;
3,702560611;2,710089916;2,045774835;;;;;;
3,709505057;2,762237351;2,062501095;;;;;;
3,716449503;2,82223705;2,066730156;;;;;;
3,72339395;2,891157425;2,085528022;;;;;;
3,730338396;2,960349018;2,096926589;;;;;;
3,737282842;3,026446696;2,09639898;;;;;;
3,744227288;3,11503936;2,097335061;;;;;;
3,751171734;3,172863136;2,13553285;;;;;;
3,758116181;3,227575687;2,14488789;;;;;;
3,765060627;3,281155648;2,157399796;;;;;;
3,772005073;3,335880489;2,198006496;;;;;;
3,778949519;3,387767594;2,198326549;;;;;;
3,785893965;3,433967738;2,247688909;;;;;;
3,792838412;3,492586166;2,312592902;;;;;;
3,799782858;3,542064983;2,350444246;;;;;;
3,806727304;3,597214686;2,413278746;;;;;;
3,81367175;3,652608833;2,4670086;;;;;;
3,820616197;3,715043286;2,476984716;;;;;;
3,827560643;3,785529132;2,479347405;;;;;;
3,834505089;3,858143105;2,519776496;;;;;;
3,841449535;3,928457183;2,599664997;;;;;;
3,848393981;3,982955166;2,600823517;;;;;;
3,855338428;4,046218165;2,56068762;;;;;;
3,862282874;4,135053891;2,602097894;;;;;;
3,86922732;4,234665853;2,569606082;;;;;;
3,876171766;4,36894358;2,551118136;;;;;;
3,883116213;4,4986918;2,573601777;;;;;;
3,890060659;4,598089967;2,544910693;;;;;;
3,897005105;4,616587093;2,751783439;;;;;;
3,903949551;4,593808852;2,837655919;;;;;;
3,910893997;4,75454896;2,775336331;;;;;;
3,917838444;4,903859034;2,792829572;;;;;;
3,92478289;5,014434586;2,941910275;;;;;;
3,931727336;5,102578907;2,990866664;;;;;;
3,938671782;5,176470645;2,928518323;;;;;;
3,945616228;5,156148436;2,5797946;;;;;;
3,952560675;5,226798362;2,575686828;;;;;;
3,959505121;5,283516241;2,601165835;;;;;;
3,966449567;5,359294743;2,637395363;;;;;;
3,973394013;5,368085358;2,720747669;;;;;;
3,98033846;5,418638703;2,749082296;;;;;;
3,987282906;5,486904232;2,770709511;;;;;;
3,994227352;5,573146077;2,794218566;;;;;;
4,001171798;5,640642049;2,767206384;;;;;;
4,008116244;5,699297767;2,754215431;;;;;;
4,015060691;5,778132702;2,733145483;;;;;;
4,022005137;5,847508857;2,754804877;;;;;;
4,028949583;5,920956802;2,739626426;;;;;;
4,035894029;5,979025184;2,741641733;;;;;;
4,042838475;6,071801683;2,758463576;;;;;;
4,049782922;6,142765963;2,820766274;;;;;;
4,056727368;6,195644779;2,771730525;;;;;;
4,063671814;6,263381248;2,794390067;;;;;;
4,07061626;6,302770436;2,797597941;;;;;;
4,077560707;6,368522943;2,789518369;;;;;;
4,084505153;6,436004907;2,815356814;;;;;;
4,091449599;6,471552892;2,809748589;;;;;;
4,098394045;6,53011466;2,786796233;;;;;;
4,105338491;6,65660842;2,777936419;;;;;;
4,112282938;6,731668983;2,786192313;;;;;;
4,119227384;6,681434708;2,772928982;;;;;;
4,12617183;6,683633209;2,773866345;;;;;;
4,133116276;6,741142823;2,799328443;;;;;;
4,140060722;6,775631453;2,776717469;;;;;;
4,147005169;6,836696984;2,805476813;;;;;;
4,153949615;6,885131461;2,822306964;;;;;;
4,160894061;6,915504937;2,817419719;;;;;;
4,167838507;6,936784633;2,842641306;;;;;;
4,174782954;6,99452422;2,897552472;;;;;;
4,1817274;7,041916307;2,89832493;;;;;;
4,188671846;7,099713395;2,919903018;;;;;;
4,195616292;7,219748632;2,895832479;;;;;;
4,202560738;7,255001955;2,875536995;;;;;;
4,209505185;7,264400766;2,883159997;;;;;;
4,216449631;7,253226093;2,895172602;;;;;;
4,223394077;7,26416417;2,886579196;;;;;;
4,230338523;7,301492854;2,911170652;;;;;;
4,237282969;7,329048422;2,906954491;;;;;;
4,244227416;7,346329794;2,915200121;;;;;;
4,251171862;7,40986683;2,940841357;;;;;;
4,258116308;7,440725737;2,933343914;;;;;;
4,265060754;7,480890384;2,924893181;;;;;;
4,272005201;7,50090574;2,927601232;;;;;;
4,278949647;7,575430904;2,970860784;;;;;;
4,285894093;7,5785342;2,983023332;;;;;;
4,292838539;7,599542953;3,000313149;;;;;;
4,299782985;7,671958531;3,039062367;;;;;;
4,306727432;7,644034889;3,008830561;;;;;;
4,313671878;7,633132145;3,002608268;;;;;;
4,320616324;7,665557646;3,014265021;;;;;;
4,32756077;7,694802942;2,965501237;;;;;;
4,334505216;7,800995791;2,939112424;;;;;;
4,341449663;7,872606;2,941551969;;;;;;
4,348394109;7,854565118;2,919711814;;;;;;
4,355338555;7,855300953;2,918956427;;;;;;
4,362283001;7,883069279;2,944055395;;;;;;
4,369227448;7,898785929;2,912148996;;;;;;
4,376171894;7,92799726;2,909495981;;;;;;
