time/d;R1;R2;;;;;;time/s;?t/s;<R1>/C;<R2>/C;;time/s;<R1>/mol e-;<R2>/mol e-;R1 mmol e-;R2 mmol e-;;;;;
0,472231794;6,250418643;6,423798092;;;;;;40800,82696;600,0000011;17,62618061;18,11511065;;40800,82696;0,019976135;0,01975801;19,97613505;19,75801008;;;;;
0,479176238;6,153658152;6,29721065;;;;;;41400,82697;600,0000011;17,35331602;17,75813407;;41400,82697;0,02015599;0,019942061;20,15599011;19,9420608;;;;;
0,486120682;6,056321993;6,171383686;;;;;;42000,82697;600,0000011;17,07882805;17,40330203;;42000,82697;0,020333;0,020122434;20,3330003;20,12243394;;;;;
0,493065127;5,962938005;6,04118189;;;;;;42600,82697;600,0000011;16,8154852;17,03613296;;42600,82697;0,020507281;0,020299002;20,50728112;20,29900162;;;;;
0,500009571;5,873465873;5,912007952;;;;;;43200,82697;600,0000011;16,56317379;16,67186246;;43200,82697;0,020678947;0,020471794;20,67894691;20,4717939;;;;;
0,506954016;5,787377952;5,79266074;;;;;;43800,82697;600,0000011;16,32040585;16,33530332;;43800,82697;0,020848097;0,020641098;20,84809658;20,64109797;;;;;
0,51389846;5,700274682;5,683797312;;;;;;44400,82697;600,0000011;16,07477463;16,02830845;;44400,82697;0,0210147;0,02080722;21,01470046;20,80722025;;;;;
0,520842905;5,614706664;5,585731378;;;;;;45000,82697;600,0000011;15,83347282;15,75176251;;45000,82697;0,021178803;0,020970476;21,1788034;20,97047633;;;;;
0,527787349;5,531014998;5,486969335;;;;;;45600,82697;600,0000011;15,59746232;15,47325355;;45600,82697;0,02134046;0,021130846;21,34046027;21,13084585;;;;;
0,534731794;5,444593053;5,394171274;;;;;;46200,82697;600,0000011;15,35375244;15,21156302;;46200,82697;0,021499591;0,021288503;21,49959124;21,28850313;;;;;
0,541676238;5,361722437;5,323737471;;;;;;46800,82698;600,0000011;15,1200573;15,0129397;;46800,82698;0,0216563;0,021444102;21,65630013;21,44410183;;;;;
0,548620683;5,270030675;5,24979305;;;;;;47400,82698;600,0000011;14,86148653;14,80441643;;47400,82698;0,021810329;0,021597539;21,81032912;21,59753932;;;;;
0,555565127;5,191465979;5,167516484;;;;;;48000,82698;600,0000011;14,63993409;14,57239651;;48000,82698;0,021962062;0,021748572;21,96206187;21,74857208;;;;;
0,562509572;5,111747799;5,093424876;;;;;;48600,82698;600,0000011;14,41512882;14,36345818;;48600,82698;0,022111465;0,021897439;22,11146466;21,89743935;;;;;
0,569454016;5,030786792;5,012052194;;;;;;49200,82698;600,0000011;14,18681878;14,13398721;;49200,82698;0,022258501;0,022043928;22,25850118;22,04392831;;;;;
0,57639846;4,957894071;4,940880719;;;;;;49800,82698;600,0000011;13,98126131;13,93328365;;49800,82698;0,022403407;0,022188337;22,40340724;22,18833712;;;;;
0,583342905;4,881510846;4,869172211;;;;;;50400,82698;600,0000011;13,76586061;13,73106566;;50400,82698;0,022546081;0,02233065;22,54608083;22,33065007;;;;;
0,590287349;4,8020327;4,802911345;;;;;;51000,82698;600,0000011;13,54173224;13,54421002;;51000,82698;0,022686431;0,022471026;22,68643147;22,4710264;;;;;
0,597231794;4,723905478;4,743688929;;;;;;51600,82698;600,0000011;13,32141347;13,3772028;;51600,82698;0,022824499;0,022609672;22,82449867;22,60967182;;;;;
0,604176238;4,657686022;4,675441818;;;;;;52200,82699;600,0000011;13,13467461;13,18474595;;52200,82699;0,02296063;0,022746323;22,96063045;22,74632255;;;;;
0,611120683;4,591999029;4,608895643;;;;;;52800,82699;600,0000011;12,94943729;12,99708574;;52800,82699;0,023094842;0,022881028;23,09484237;22,88102831;;;;;
0,618065127;4,522318264;4,546374504;;;;;;53400,82699;600,0000011;12,75293753;12,82077613;;53400,82699;0,023227018;0,023013907;23,22701771;23,01390675;;;;;
0,625009572;4,452099329;4,477578285;;;;;;54000,82699;600,0000011;12,55492013;12,62677079;;54000,82699;0,023357141;0,023144774;23,35714074;23,14477446;;;;;
0,631954016;4,385243468;4,410068349;;;;;;54600,82699;600,0000011;12,3663866;12,43639277;;54600,82699;0,02348531;0,023273669;23,48530974;23,27366903;;;;;
0,638898461;4,319571599;4,341243826;;;;;;55200,82699;600,0000011;12,18119193;12,24230761;;55200,82699;0,023611559;0,023400552;23,61155933;23,40055205;;;;;
0,645842905;4,256880115;4,280226116;;;;;;55800,82699;600,0000011;12,00440195;12,07023767;;55800,82699;0,023735977;0,023525652;23,73597662;23,52565167;;;;;
0,652787349;4,188030567;4,224826311;;;;;;56400,82699;600,0000011;11,81024622;11,91401022;;56400,82699;0,023858382;0,023649132;23,85838162;23,64913211;;;;;
0,659731794;4,125338901;4,163890907;;;;;;57000,82699;600,0000011;11,63345572;11,74217238;;57000,82699;0,023978954;0,023770832;23,97895431;23,77083157;;;;;
0,666676238;4,060324755;4,110214399;;;;;;57600,827;600,0000011;11,45011583;11,59080463;;57600,827;0,024097627;0,023890962;24,0976268;23,89096221;;;;;
0,673620683;3,99975051;4,049567561;;;;;;58200,827;600,0000011;11,27929646;11,41978054;;58200,827;0,024214529;0,02400932;24,21452888;24,0093203;;;;;
0,680565127;3,938436994;3,988314545;;;;;;58800,827;600,0000011;11,10639235;11,24704704;;58800,827;0,024329639;0,024125888;24,32963892;24,12588813;;;;;
0,687509572;3,873423556;3,928029299;;;;;;59400,827;600,0000011;10,92305445;11,07704265;;59400,827;0,024442849;0,024240694;24,44284879;24,24069399;;;;;
0,694454016;3,813922145;3,880894802;;;;;;60000,827;600,0000011;10,75526047;10,94412336;;60000,827;0,02455432;0,024354122;24,55431959;24,35412222;;;;;
