Ewe/V;BA1_A;Ewe/V;BA2_A;<--CV begin cycle 1;;Ewe/V;BA1_B;Ewe/V;BA2_B;;;<--- CV begin cycle 2
-0,488764167;-0,251656695;-0,488467276;-0,310189953;;;-0,491903543;-0,006493224;-0,488220572;-0,014172685;;;
-0,487532198;-0,251193172;-0,487629712;-0,321089308;;;-0,491083115;-0,005609611;-0,487050444;-0,014039237;;;
-0,487473756;-0,251717455;-0,486579299;-0,310863884;;;-0,491560102;-0,006369561;-0,485988379;-0,013464599;;;
-0,486014396;-0,251517887;-0,485638887;-0,322844317;;;-0,493468106;-0,005698901;-0,485375196;-0,012921605;;;
-0,485256374;-0,248884004;-0,484511524;-0,317123969;;;-0,491426557;-0,006181444;-0,484133154;-0,012428299;;;
-0,484579921;-0,246798754;-0,482817799;-0,314421614;;;-0,491197586;-0,006416599;-0,483449996;-0,012075195;;;
-0,482686937;-0,248139866;-0,481984198;-0,310145918;;;-0,491197586;-0,005534013;-0,482083857;-0,0114458;;;
-0,482044548;-0,245738096;-0,481453866;-0,301894729;;;-0,490987718;-0,006427283;-0,481717587;-0,010899079;;;
-0,481301397;-0,243434966;-0,480285913;-0,305190216;;;-0,491121262;-0,005464377;-0,479918361;-0,010204365;;;
-0,48071003;-0,245750737;-0,479901433;-0,308356735;;;-0,486999959;-0,006222352;-0,479423851;-0,00982658;;;
-0,479237676;-0,244668903;-0,478927165;-0,292215529;;;-0,490968615;-0,00588643;-0,478152007;-0,009071874;;;
-0,478738308;-0,244420509;-0,477505028;-0,288691739;;;-0,490080476;-0,005794929;-0,477544218;-0,008808015;;;
-0,476606786;-0,243433891;-0,475708008;-0,280722221;;;-0,489302605;-0,005470988;-0,476216197;-0,00835426;;;
-0,475845933;-0,242872923;-0,474943429;-0,289384602;;;-0,487883061;-0,005231766;-0,475251615;-0,007540041;;;
-0,474881113;-0,241427088;-0,474230647;-0,302108582;;;-0,487620175;-0,005155018;-0,474046558;-0,006973373;;;
-0,474048942;-0,24408632;-0,474062353;-0,302006888;;;-0,485427737;-0,005031292;-0,473251194;-0,00636533;;;
-0,473811299;-0,237352829;-0,472858965;-0,311607947;;;-0,485244602;-0,005439355;-0,472284406;-0,005783899;;;
-0,472611576;-0,23826383;-0,471742243;-0,312769936;;;-0,485308349;-0,004703288;-0,470944822;-0,005103092;;;
