;;;;;;;R1;;R2;;
;;;;;;;Bulk;Electrode;Bulk;Electrode;
OTU;Domain;Phylum;Class;Order;Family;Genus;BMIXP1_B3_20221213;EMIXP1_B3_20221213;BMIXP2_B3_20221213;EMIXP2_B3_20221213;
Otu050;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes;0,0%;0,0%;0,5%;0,0%;
Otu086;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_NK4A214_group;0,0%;0,0%;0,0%;0,0%;
Otu171;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu210;Bacteria;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu066;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Caproiciproducens;0,1%;0,0%;0,0%;0,0%;
Otu017;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;0,7%;0,0%;0,9%;0,0%;
Otu063;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;0,0%;0,0%;0,1%;0,0%;
Otu159;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu217;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu057;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,1%;0,0%;0,5%;0,0%;
Otu042;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;0,1%;0,0%;0,0%;0,0%;
Otu053;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;0,2%;0,0%;0,3%;0,0%;
Otu058;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Caproiciproducens;0,0%;0,0%;0,3%;0,0%;
Otu087;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;0,1%;0,0%;0,1%;0,0%;
Otu091;Bacteria;Proteobacteria;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu143;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu192;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas;0,0%;0,0%;0,0%;0,0%;
Otu231;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu241;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;uncultured;0,0%;0,0%;0,0%;0,0%;
Otu081;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;0,1%;0,0%;0,0%;0,0%;
Otu083;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu105;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,0%;0,0%;0,1%;0,0%;
Otu111;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,1%;0,0%;0,1%;0,0%;
Otu112;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;uncultured;0,0%;0,0%;0,0%;0,0%;
Otu167;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;uncultured;0,0%;0,0%;0,0%;0,0%;
