;;;;;;;N-STAT REACTOR;;;;;
;;;;;;;Bulk;BA1;BA2;;;
Otu111;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,000%;0,000%;0,003%;;;
Otu114;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_2;0,005%;0,000%;0,003%;;;
Otu132;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_unclassified;Clostridiales_unclassified;0,000%;0,000%;0,006%;;;
Otu139;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_1;0,000%;0,000%;0,003%;;;
Otu192;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas;0,019%;0,000%;0,003%;;;
Otu292;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae_Sedis;Proteiniborus;0,000%;0,000%;0,009%;;;
Otu304;Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;Lutispora;0,005%;0,000%;0,003%;;;
Otu311;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,000%;0,000%;0,009%;;;
Otu323;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,000%;0,000%;0,009%;;;
Otu218;Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;0,000%;0,009%;0,006%;;;
Otu059;Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;IheB3-7;IheB3-7_ge;0,290%;0,179%;0,115%;;;
Otu001;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;29,113%;73,758%;74,299%;;;
Otu015;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;8,7%;1,4%;3,2%;;;
Otu018;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;1,005%;0,482%;0,531%;;;
Otu033;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;1,092%;0,426%;0,154%;;;
Otu039;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;0,000%;0,277%;0,374%;;;
Otu034;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;2,097%;0,209%;0,259%;;;
Otu037;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0,966%;0,162%;0,655%;;;
Otu064;Bacteria;Proteobacteria;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified;0,000%;0,149%;0,465%;;;
Otu009;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacteriaceae_unclassified;0,758%;0,119%;0,078%;;;
Otu042;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;1,324%;0,090%;0,211%;;;
Otu076;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,111%;0,060%;0,130%;;;
Otu088;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;0,068%;0,060%;0,048%;;;
Otu050;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes;0,271%;0,047%;0,018%;;;
Otu054;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;0,014%;0,043%;0,015%;;;
Otu199;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;M113;M113_ge;0,000%;0,043%;0,000%;;;
Otu061;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;0,623%;0,034%;0,030%;;;
Otu134;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;0,029%;0,034%;0,000%;;;
Otu179;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;0,014%;0,030%;0,003%;;;
Otu130;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,048%;0,026%;0,036%;;;
Otu229;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified;0,000%;0,026%;0,000%;;;
Otu253;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,000%;0,021%;0,000%;;;
Otu092;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Solimonadaceae;Solimonas;0,121%;0,004%;0,060%;;;
