Ewe/V;BA1_C;Ewe/V;BA2_C;<--CV_beggining
-0,528017282;-0,005645382;-0,443652958;0,381356618;
-0,527368426;0,002432557;-0,442145765;0,392262572;
-0,528150856;-0,005154187;-0,441305369;0,391993926;
-0,527769208;0,003035019;-0,440250933;0,406620038;
-0,526681483;-0,004443685;-0,439650804;0,418674252;
-0,52822715;0,003815978;-0,438093185;0,424542018;
-0,527692854;-0,004025075;-0,438393146;0,432964815;
-0,527731001;0,004140767;-0,435839981;0,445884007;
-0,527635634;-0,003350557;-0,436299354;0,43356731;
-0,527292132;0,004756759;-0,434162021;0,447112644;
-0,52755928;-0,002939976;-0,434673071;0,463500199;
-0,52878058;0,005110656;-0,432660729;0,473386394;
-0,528322577;-0,002597504;-0,432392299;0,484858242;
-0,526910484;0,005556147;-0,430092394;0,493115641;
-0,527215779;-0,00233321;-0,430537969;0,488170764;
-0,527082205;0,005609734;-0,428166002;0,50155966;
-0,526185334;-0,002006179;-0,427762806;0,513894164;
-0,527196705;0,006174749;-0,426064461;0,531234753;
-0,527616501;-0,001305399;-0,425832331;0,531506483;
-0,52677691;0,006762407;-0,424070209;0,543596996;
-0,527101278;-0,001154594;-0,423284054;0,552370361;
-0,526700556;0,006962263;-0,422749192;0,558302823;
-0,527044058;-0,000437913;-0,421466798;0,572531538;
-0,527502;0,007566184;-0,421086878;0,582157225;
-0,527692854;3,86844E-05;-0,418933541;0,595765553;
-0,526261687;0,007878915;-0,41996783;0,600384162;
-0,52683413;0,000482003;-0,417131305;0,60719327;
-0,526318908;0,008375923;-0,417200118;0,623889469;
-0,525402963;0,001068406;-0,415606827;0,635056175;
-0,525803685;0,008565419;-0,415621668;0,637597345;
-0,527063131;0,001690796;-0,412888944;0,648464085;
-0,52610898;0,009205041;-0,412835896;0,657238422;
-0,526528835;0,002206874;-0,411365598;0,671243973;
-0,526128054;0,009648218;-0,411206186;0,689086186;
-0,526223481;0,002773578;-0,408765495;0,69427996;
-0,525727332;0,009918272;-0,408855706;0,710436057;
-0,527101278;0,003387357;-0,40738228;0,709703605;
-0,525822759;0,010436382;-0,406799823;0,723866884;
-0,52610898;0,00373067;-0,40599969;0,737868799;
-0,526070833;0,010553361;-0,40490517;0,751242208;
-0,525154889;0,004212337;-0,403982967;0,764705992;
-0,526643336;0,011051249;-0,402800471;0,768376424;
-0,525879979;0,004735731;-0,402194738;0,774184344;
-0,525879979;0,01104032;-0,400821865;0,790886392;
