OTU;Domain;BS;Phylum;BS.1;Class;BS.2;Order;BS.3;Family;BS.4;Genus;BS.5;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220629;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220704;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220708;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220713;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220718;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220720;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220722;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220727;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220801;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220808;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220812;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220819
Otu042;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Tyzzerella;100;865;15;0;1;5;0;0;1;14;1;0;60
Otu043;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_UCG-010;100;446;101;28;65;15;2;65;36;1;47;39;34
Otu044;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Odoribacter;100;0;13;0;1;0;0;0;32;1;718;38;60
Otu045;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;0;10;7;19;1;3;26;352;292;57;9;80
Otu046;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;629;212;14;0;0;0;0;0;0;0;0;0
Otu047;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Parabacteroides;100;5;32;47;89;78;177;64;194;60;2;14;41
Otu048;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Anaerofilum;100;302;24;19;25;11;0;18;37;3;6;258;44
Otu049;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Macellibacteroides;100;680;0;0;0;0;0;0;0;0;0;0;0
Otu050;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Hydrogenoanaerobacterium;100;36;61;24;25;37;18;28;47;30;294;35;41
Otu051;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-002;100;0;112;4;59;98;60;103;152;7;0;68;13
Otu052;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;99;47;84;75;111;44;67;47;69;1;1;25;31
Otu053;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridium_sensu_stricto_12;100;0;0;0;0;0;0;6;15;1;87;60;424
Otu054;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;1;83;35;13;15;76;47;56;125;23;72;32
Otu055;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Odoribacter;100;44;71;46;17;11;87;41;40;85;49;34;53
Otu056;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-014;100;0;352;75;26;52;3;1;13;0;0;0;6
Otu057;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Anaerofilum;100;0;223;74;31;10;0;1;50;2;8;75;41
Otu058;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Subdoligranulum;100;0;0;1;1;246;138;87;6;0;0;0;0
Otu059;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Proteiniphilum;100;0;0;0;2;1;1;0;47;93;37;150;146
Otu060;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminiclostridium_9;100;11;37;47;33;83;9;14;9;146;48;17;19
Otu061;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Roseburia;100;0;52;216;89;80;1;5;0;0;0;0;1
Otu062;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Eubacteriaceae;100;Eubacterium;100;39;28;5;5;6;0;12;40;1;11;141;118
Otu063;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcus_2;100;139;10;4;29;0;0;0;220;0;0;3;0
Otu064;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminiclostridium_9;100;10;1;3;13;33;15;36;219;13;9;25;15
Otu065;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;0;0;2;0;31;84;20;101;92;11;20;12
Otu066;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Blautia;100;95;47;27;19;34;38;53;16;0;15;10;14
Otu067;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Eisenbergiella;100;54;47;1;6;7;0;1;14;16;9;103;89
Otu068;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Dysgonomonas;100;267;62;12;0;0;0;0;0;1;0;1;1
Otu069;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_unclassified;100;32;7;5;12;20;19;21;42;19;45;76;43
Otu070;Bacteria;100;Actinobacteria;100;Coriobacteriia;100;Coriobacteriales;100;Coriobacteriaceae;100;Olsenella;100;0;0;0;0;0;1;16;15;24;195;85;1
Otu071;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Christensenellaceae;100;Christensenellaceae_R-7_group;100;62;210;64;0;0;0;0;0;0;0;0;0
Otu072;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminiclostridium_9;100;0;28;100;42;17;1;64;40;0;7;20;0
Otu073;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Blautia;100;0;301;13;0;0;0;0;0;0;0;0;0
Otu074;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_ge;85;13;0;35;83;58;19;48;54;0;0;0;0
Otu075;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Butyricicoccus;100;89;11;5;31;9;14;20;11;10;0;1;106
Otu076;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;0;9;17;2;0;20;5;2;121;42;21;67
Otu077;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Bifidobacteriales;100;Bifidobacteriaceae;100;Bifidobacterium;100;0;0;0;0;132;33;15;20;11;1;46;38
Otu078;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminiclostridium_6;100;0;0;1;168;1;6;26;78;0;0;0;0
Otu079;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_NK4A214_group;100;0;0;0;0;13;1;26;223;5;1;10;1
Otu080;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Christensenellaceae;100;Christensenellaceae_unclassified;100;0;75;72;38;8;3;3;62;3;0;0;0
Otu081;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;0;28;27;33;0;0;0;113;19;1;6;9
Otu082;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_UCG-004;100;0;0;23;1;22;67;8;0;50;1;45;17
Otu083;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Porphyromonadaceae_unclassified;100;0;0;0;0;0;0;0;15;23;23;62;109
Otu084;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Marvinbryantia;100;18;40;1;1;24;48;34;40;0;4;12;1
Otu085;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;0;41;76;46;20;15;9;1;12;1;1;0
Otu086;Bacteria;100;Firmicutes;100;Erysipelotrichia;100;Erysipelotrichales;100;Erysipelotrichaceae;100;Erysipelotrichaceae_UCG-009;100;0;18;4;8;84;9;18;26;0;10;34;10
Otu087;Bacteria;100;Actinobacteria;100;Coriobacteriia;100;Coriobacteriales;100;Coriobacteriaceae;100;Coriobacteriaceae_UCG-002;100;0;0;0;0;32;14;30;22;33;33;40;1
Otu088;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;51;15;1;9;39;6;12;23;0;7;28;14
Otu089;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_unclassified;100;23;0;20;26;6;6;15;83;0;8;1;8
Otu090;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Intestinimonas;97;6;1;0;6;2;8;25;33;4;74;13;18
Otu091;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Butyricimonas;100;1;17;2;3;1;26;26;1;59;1;15;26
Otu092;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridium_sensu_stricto_3;100;154;13;3;0;0;0;2;0;0;0;0;0
Otu093;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_unclassified;100;33;87;14;1;0;1;1;0;1;1;12;4
Otu094;Bacteria;100;Proteobacteria;100;Deltaproteobacteria;100;Desulfovibrionales;100;Desulfovibrionaceae;100;Desulfovibrio;100;75;1;0;7;11;1;1;11;7;10;1;30
Otu095;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Rikenellaceae;100;Alistipes;100;21;23;6;12;5;10;5;18;0;16;15;20
Otu096;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-014;100;0;0;72;68;5;0;0;0;0;0;0;0
Otu097;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiales_vadinBB60_group;100;Clostridiales_vadinBB60_group_ge;100;0;70;11;1;0;32;19;4;0;0;1;2
Otu098;Bacteria;100;Actinobacteria;100;Coriobacteriia;100;Coriobacteriales;100;Coriobacteriaceae;100;Olsenella;100;0;0;7;6;26;20;47;25;4;0;0;0
Otu099;Bacteria;100;Firmicutes;100;Bacilli;100;Bacillales;100;Family_XII;100;Exiguobacterium;100;134;0;0;0;0;0;0;0;0;0;0;0
Otu100;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Butyricimonas;100;16;11;12;0;1;22;16;12;26;7;2;8
Otu101;Bacteria;100;Proteobacteria;100;Deltaproteobacteria;100;Desulfovibrionales;100;Desulfovibrionaceae;100;Desulfovibrio;100;0;0;0;0;0;0;3;30;12;17;24;44
Otu102;Bacteria;100;Firmicutes;100;Bacilli;100;Bacillales;100;Planococcaceae;100;Rummeliibacillus;100;0;0;0;6;50;7;10;14;13;5;1;18
Otu103;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridiaceae_1_unclassified;100;111;0;0;0;0;0;0;0;0;0;0;0
Otu104;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-014;100;0;0;69;5;2;0;0;35;0;0;0;0
Otu105;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;93;110;1;0;0;0;0;0;0;0;0;0;0
